Software,RP Name
abacas,anvil
abaqus,expanse
abinit,"expanse, faster"
abismal,anvil
abpoa,anvil
abricate,anvil
abseil,"aces, faster"
abyss,"anvil, faster"
accessusage,expanse
actc,"anvil, aces, faster"
adapterremoval,"anvil, faster"
adios2,expanse
adol-c,expanse
advisor,"stampede3, kyric"
advntr,anvil
aesara,faster
aflow,faster
afplot,anvil
afterqc,anvil
agat,anvil
agfusion,anvil
aiohttp,"aces, faster"
alfred,anvil
alien-hunter,anvil
alignstats,anvil
all,ookami
allpathslg,anvil
alphafold,"anvil, darwin, aces, faster"
alphapickle,"aces, faster"
alsa-lib,faster
amask,stampede3
amber,"anvil, expanse, faster"
ambertools,"aces, faster"
amd-rocm,darwin
amd-uprof,darwin
amdblis,"anvil, expanse"
amdfftw,"anvil, expanse"
amdlibflame,"anvil, expanse"
amdlibm,"anvil, expanse"
amdscalapack,"anvil, expanse"
amduprof,"delta, expanse"
amos,faster
amphora2,faster
amptk,anvil
anaconda,"anvil, darwin, ookami, jetstream"
anaconda3,"expanse, aces, faster"
anaconda3_cpu,delta
anaconda3_gpu,delta
anaconda3_mi100,delta
anaconda3_rcpu,delta
anaconda3_x86_64,delta
ananse,anvil
anchorwave,anvil
angsd,"anvil, faster"
annogesic,anvil
annovar,anvil
ansys,faster
ant,"expanse, aces, faster"
antismash,anvil
antlr,"aces, faster"
anvio,anvil
any2fasta,"anvil, faster"
aocc,"delta, anvil, expanse, aces, faster, ookami"
aocl,darwin
aocl-sparse,expanse
apptainer,jetstream
apr,"aces, faster"
apr-util,"aces, faster"
arcade-learning-environment,faster
architectures,ookami
archive-zip,faster
archspec,"aces, faster"
arcs,anvil
aria2,"expanse, faster"
aria2-1.15.1,faster
ariba,anvil
arm,ookami
arm-forge,expanse
arm-gnu-toolchain,aces
arm-gnu-toolchaint,aces
armadillo,"delta, expanse, aces, faster"
arpack,"darwin, stampede3"
arpack-ng,"anvil, expanse, aces, faster"
arrayfire,expanse
arrow,"aces, faster"
arrow-r,faster
arviz,faster
ascatngs,anvil
ase,"aces, faster"
asgal,anvil
aspera-connect,anvil
assembly-stats,anvil
assimp,aces
astropy,faster
at-spi2-atk,"aces, faster"
at-spi2-core,"aces, faster"
atac-seq-pipeline,anvil
ataqv,anvil
atk,"aces, faster"
atlas,darwin
atop,delta
atp,delta
atram,anvil
atropos,anvil
attrdict3,"aces, faster"
augur,anvil
augustus,anvil
autoconf,"darwin, aces, faster, kyric"
autoconf-archive,kyric
autodock-gpu,faster
autodock-vina,faster
automake,"aces, faster, kyric"
autotools,"stampede3, aces, faster, kyric"
aws-cli,"delta, anvil"
awscli,faster
axl,faster
bactopia,anvil
bali-phy,"anvil, faster"
bam-readcount,anvil
bamgineer,anvil
bamkit,faster
bamliquidator,anvil
bamsurgeon,anvil
bamtools,"anvil, expanse, aces, faster"
bamutil,anvil
banner,delta
barrnap,anvil
basenji,anvil
bayescan,anvil
bazam,anvil
bazel,"aces, faster"
bbmap,"anvil, aces, faster"
bbtools,anvil
bcftools,"anvil, expanse, faster"
bcl2fastq,anvil
beagle,anvil
beagle-lib,faster
beast,faster
beast1,expanse
beast2,"anvil, expanse"
beautifulsoup,"aces, faster"
bedops,anvil
bedtools,"anvil, faster"
bedtools2,expanse
berkeley-db,"expanse, kyric"
berkeley-upc,faster
binutils,"darwin, aces, faster"
bio-db-hts,faster
bioawk,"anvil, faster"
biobambam,anvil
biocontainers,"anvil, stampede3"
bioconvert,anvil
biom-format,faster
bioperl,"aces, faster"
biopython,"anvil, aces, faster"
bismark,"anvil, expanse"
bison,"aces, faster, ookami"
blacs,darwin
blasr,anvil
blast,"anvil, faster, ookami"
blast+,"aces, faster"
blast-plus,"anvil, expanse"
blat,expanse
blender,"aces, faster"
blis,"anvil, darwin, aces, faster, ookami"
blobtools,anvil
blosc2,"aces, faster"
bmge,anvil
bohrium,faster
bokeh,"aces, faster"
boost,"delta, anvil, darwin, expanse, stampede3, aces, faster, ookami, kyric"
boost.mpi,aces
boost.python,"aces, faster"
botorch,faster
bottleneck,faster
bowtie,"anvil, faster"
bowtie2,"anvil, expanse, faster"
bracken,anvil
braker2,anvil
brass,anvil
breseq,anvil
brotli,"aces, faster"
brotli-python,aces
brunsli,"aces, faster"
build,faster
busco,anvil
bustools,anvil
bwa,"anvil, expanse, aces, faster"
bwameth,anvil
byacc,expanse
byo,ookami
bzip2,"expanse, aces, faster, kyric"
c-ares,"aces, faster"
cactus,anvil
cafe,anvil
cairo,"aces, faster"
canu,"anvil, faster"
capstone,"aces, faster"
captum,aces
cartopy,"aces, faster"
catch2,"aces, faster"
ccache,"aces, faster"
cce,delta
cce-mixed,delta
ccl,kyric
ccs,anvil
cd-hit,"anvil, faster"
cdat,faster
cdbtools,anvil
cdo,"anvil, stampede3, aces, faster"
cdsapi,aces
cegma,anvil
cellbender,anvil
cellchat,anvil
cellphonedb,anvil
cellranger,anvil
cellranger-arc,anvil
cellranger-atac,anvil
cellranger-dna,anvil
cellrank,anvil
cellrank-krylov,anvil
cellsnp-lite,anvil
celltypist,anvil
centrifuge,anvil
cereal,expanse
cesm,faster
cesm-deps,"aces, faster"
cffi,"aces, faster"
cfitsio,"aces, faster"
cfsan-snp-pipeline,anvil
cgal,"expanse, aces, faster"
cgns,aces
chameleon,aces
chapel,"faster, ookami"
charliecloud,"stampede3, aces, faster"
charm,darwin
charmpp,expanse
check,"aces, faster"
checkm-genome,anvil
chemprop,aces
chewbbaca,anvil
chimerax,"aces, faster"
chopper,anvil
