Software,RP Name,Software's Web Page,Software Documentation,Tutorials
7z,OOKAMI,https://www.7-zip.org/,https://github.com/ip7z/7zip/tree/main,https://www.youtube.com/watch?v=N48Z0nG0bcQ
Abaqus,"Stampede-2, DARWIN, Rockfish",https://www.3ds.com/products-services/simulia/products/abaqus,http://130.149.89.49:2080/v2016/books/usi/default.htm,"https://www.3ds.com/products/simulia/training, https://www.youtube.com/watch?v=3-NIKzmhxOU&list=PLz_XdUL-6Y_k-LgmCKo5ejqRAGpfXPk23"
abinit,"Bridges-2, Rockfish",https://www.abinit.org/,https://docs.abinit.org/,https://docs.abinit.org/tutorial/
Abseil,ACES,https://abseil.io/,https://abseil.io/docs/cpp/guides/,"https://abseil.io/docs/cpp/quickstart , https://abseil.io/tips/"
ABySS,Bridges-2,https://www.bcgsc.ca/platform/bioinfo/software/abyss,https://github.com/bcgsc/abyss,https://github.com/bcgsc/abyss?tab=readme-ov-file#assemble-a-small-synthetic-data-set
accessusage,"Expanse, Delta",,,
ACTC,ACES,https://sourceforge.net/projects/actc/,https://sourceforge.net/p/actc/wiki/Documents/,https://plunk.org/~grantham/public/actc/tcsample.c
adcirc,Stampede-2,https://adcirc.org/,https://adcirc.org/home/documentation/users-manuals-compile-options-faqs-wiki/,https://adcirc.org/home/documentation/example-problems/
advisor,"Stampede-2, KyRIC",https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html#gs.5i029o,https://www.intel.com/content/www/us/en/docs/advisor/user-guide/2023-0/overview.html,
AI,Bridges-2,https://www.psc.edu/resources/software/ai/,,
aiohttp,ACES,https://github.com/aio-libs/aiohttp,https://docs.aiohttp.org/en/stable/,https://adcirc.org/home/documentation/example-problems/
all-architectures,OOKAMI,,,
alpha-analysis,Rockfish,https://github.com/grandrea/Alphafold-analysis,,
AlphaFold,ACES,https://github.com/google-deepmind/alphafold,https://github.com/google-deepmind/alphafold,https://github.com/google-deepmind/alphafold?tab=readme-ov-file#installation-and-running-your-first-prediction
alphafold-gpu,Rockfish,,,
alphapulldown,Rockfish,https://github.com/KosinskiLab/AlphaPulldown,https://github.com/KosinskiLab/AlphaPulldown/blob/main/README.md,"https://github.com/KosinskiLab/AlphaPulldown/blob/main/manuals/example_1.md , https://github.com/KosinskiLab/AlphaPulldown/blob/main/manuals/example_2.md , https://github.com/KosinskiLab/AlphaPulldown/blob/main/manuals/example_3.md , https://hpc.nih.gov/apps/alphapulldown.html "
amask,Stampede-2,https://tacc.utexas.edu/research/tacc-research/amask/,https://github.com/tacc/amask,https://github.com/TACC/amask/blob/master/README
