software,software_description,software_versions,resource
ACTC,ACTC converts independent triangles into triangle strips or fans.,1.1,aces
ACTC,ACTC converts independent triangles into triangle strips or fans.,1.3,aces
ANTLR,"ANTLR, ANother Tool for Language Recognition, (formerly PCCTS) is a language tool that provides a framework for constructing recognizers, compilers, and translators from grammatical descriptions containing Java, C#, C++, or Python actions.",2.7.7-Java-11,aces
APR,Apache Portable Runtime (APR) libraries.,1.7.0,aces
APR-util,Apache Portable Runtime (APR) util libraries.,1.6.1,aces
ASE,"ASE is a python package providing an open source Atomic Simulation Environment in the Python scripting language. From version 3.20.1 we also include the ase-ext package, it contains optional reimplementations in C of functions in ASE. ASE uses it automatically when installed.","3.20.1, 3.22.1",aces
ATK,"ATK provides the set of accessibility interfaces that are implemented by other toolkits and applications. Using the ATK interfaces, accessibility tools have full access to view and control running applications.","2.36.0, 2.38.0",aces
Abseil,"Abseil is an open-source collection of C++ library code designed to augment the C++ standard library. The Abseil library code is collected from Google's own C++ code base, has been extensively tested and used in production, and is the same code we depend on in our daily coding lives.","20230125.2, 20230125.3, 20230802.1",aces
AlphaFold,AlphaFold can predict protein structures with atomic accuracy even where no similar structure is known,2.3.2-CUDA-11.8.0,aces
AlphaPickle,ALPHAPICKLE is a programme for extracting the outputs of DeepMind's ALPHAFOLD protein prediction algorithm from the pickle (.pkl) file output.,1.4.1,aces
AmberTools,"AmberTools consists of several independently developed packages that work well by themselves, and with Amber itself. The suite can also be used to carry out complete molecular dynamics simulations, with either explicit water or generalized Born solvent models.",22.3,aces
Anaconda3,"Built to complement the rich, open source Python community, the Anaconda platform provides an enterprise-ready data analytics platform that empowers companies to adopt a modern open data science analytics architecture.","2021.11, 2022.05, 2022.10, 2023.03-1, 2023.07-2, 2024.02-1",aces
Armadillo,"Armadillo is an open-source C++ linear algebra library (matrix maths) aiming towards a good balance between speed and ease of use. Integer, floating point and complex numbers are supported, as well as a subset of trigonometric and statistics functions.","11.4.3, 12.6.2",aces
Arrow,"Apache Arrow (incl. PyArrow Python bindings), a cross-language development platform for in-memory data.","8.0.0, 11.0.0",aces
Autoconf,"Autoconf is an extensible package of M4 macros that produce shell scripts to automatically configure software source code packages. These scripts can adapt the packages to many kinds of UNIX-like systems without manual user intervention. Autoconf creates a configuration script for a package from a template file that lists the operating system features that the package can use, in the form of M4 macro calls.","2.69, 2.71",aces
Automake,Automake: GNU Standards-compliant Makefile generator,"1.16.2, 1.16.3, 1.16.4, 1.16.5",aces
Autotools,"This bundle collect the standard GNU build tools: Autoconf, Automake and libtool","20200321, 20210128, 20210726, 20220317",aces
BBMap,"BBMap short read aligner, and other bioinformatic tools.",38.90,aces
BEDTools,"BEDTools: a powerful toolset for genome arithmetic. The BEDTools utilities allow one to address common genomics tasks such as finding feature overlaps and computing coverage. The utilities are largely based on four widely-used file formats: BED, GFF/GTF, VCF, and SAM/BAM.  BLAST+: BLAST+/2.13.0, BLAST+/2.14.1 Basic Local Alignment Search Tool, or BLAST, is an algorithm for comparing primary biological sequence information, such as the amino-acid sequences of different proteins or the nucleotides of DNA sequences.",2.31.0,aces
BLIS,BLIS is a portable software framework for instantiating high-performance BLAS-like dense linear algebra libraries.,"0.8.1, 0.9.0",aces
BWA,Burrows-Wheeler Aligner (BWA) is an efficient program that aligns relatively short nucleotide sequences against a long reference sequence such as the human genome.,0.7.17,aces
BamTools,BamTools provides both a programmer's API and an end-user's toolkit for handling BAM files.,2.5.2,aces
Bazel,Bazel is a build tool that builds code quickly and reliably. It is used to build the majority of Google's software.,"3.7.2, 4.2.2, 5.1.1, 6.3.1",aces
BeautifulSoup,Beautiful Soup is a Python library designed for quick turnaround projects like screen-scraping.,"4.10.0, 4.11.1, 4.12.2",aces
BioPerl,"Bioperl is the product of a community effort to produce Perl code which is useful in biology. Examples include Sequence objects, Alignment objects and database searching objects.",1.7.8,aces
Biopython,Biopython is a set of freely available tools for biological computation written in Python by an international team of developers. It is a distributed collaborative effort to develop Python libraries and applications which address the needs of current and future work in bioinformatics.,"1.79, 1.81, 1.82",aces
Bison,Bison is a general-purpose parser generator that converts an annotated context-free grammar into a deterministic LR or generalized LR (GLR) parser employing LALR(1) parser tables.,"3.3.2, 3.7.1, 3.7.6, 3.8.2",aces
Blender,"Blender is the free and open source 3D creation suite. It supports the entirety of the 3D pipeline-modeling, rigging, animation, simulation, rendering, compositing and motion tracking, even video editing and game creation.",3.5.0-linux-x86_64-CUDA-11.7.0,aces
Blosc2,"Blosc, an extremely fast, multi-threaded, meta-compressor library",2.4.3,aces
Boost,"Boost provides free peer-reviewed portable C++ source libraries.  Boost.MPI: Boost.MPI/1.79.0 Boost provides free peer-reviewed portable C++ source libraries.  Boost.Python: Boost.Python/1.79.0, Boost.Python/1.81.0, Boost.Python/1.83.0 Boost.Python is a C++ library which enables seamless interoperability between C++ and the Python programming language.","1.76.0, 1.77.0, 1.79.0, 1.81.0, 1.82.0, 1.83.0",aces
Brotli,"Brotli is a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling, with a compression ratio comparable to the best currently available general-purpose compression methods. It is similar in speed with deflate but offers more dense compression. The specification of the Brotli Compressed Data Format is defined in RFC 7932.",1.0.9,aces
